,ATWS,FLB,LACP,LLB,LOCA,LOCAC,LOF,LR,MD,RI,RW,SGATR,SGBTR,SLBIC,SLBOC,SP,TT
Ensemble,0,1.0,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
One-vs-Rest,0,1.0,0.0,1.0,1.0,1.0,0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,0,0
